noise,coupling,cluster
0.0085,0.065,1
0.0085,0.07,4
0.0085,0.075,1
0.0085,0.08,1
0.0085,0.085,4
0.0085,0.09,2
0.0085,0.095,2
0.0085,0.1,2
0.0085,0.105,2
0.0085,0.11,2
0.0085,0.115,2
0.0085,0.12,2
0.0085,0.125,2
0.0085,0.13,2
0.0085,0.135,2
0.0085,0.14,2
0.0085,0.145,2
0.0085,0.15,2
0.0085,0.155,2
0.0085,0.16,2
0.0085,0.165,2
0.0085,0.17,2
0.0085,0.175,2
0.0085,0.18,2
0.0085,0.185,2
0.0085,0.19,2
0.0085,0.195,2
0.0085,0.2,2
0.009,0.0,0
0.009,0.005,1
0.009,0.01,1
0.009,0.015,1
0.009,0.02,1
0.009,0.025,1
0.009,0.03,1
0.009,0.035,1
0.009,0.04,1
0.009,0.045,1
0.009,0.05,1
0.009,0.055,1
0.009,0.06,1
0.009,0.065,1
0.009,0.07,4
0.009,0.075,2
0.009,0.08,4
0.009,0.085,4
0.009,0.09,2
0.009,0.095,4
0.009,0.1,2
0.009,0.105,2
0.009,0.11,2
0.009,0.115,2
0.009,0.12,2
0.009,0.125,2
0.009,0.13,2
0.009,0.135,2
0.009,0.14,2
0.009,0.145,2
0.009,0.15,2
0.009,0.155,2
0.009,0.16,2
0.009,0.165,2
0.009,0.17,2
0.009,0.175,2
0.009,0.18,2
0.009,0.185,2
0.009,0.19,2
0.009,0.195,2
0.009,0.2,2
0.0095,0.0,0
0.0095,0.005,1
0.0095,0.01,1
0.0095,0.015,1
0.0095,0.02,1
0.0095,0.025,1
0.0095,0.03,1
0.0095,0.035,1
0.0095,0.04,1
0.0095,0.045,1
0.0095,0.05,1
0.0095,0.055,1
0.0095,0.06,1
0.0095,0.065,1
0.0095,0.07,1
0.0095,0.075,4
0.0095,0.08,4
0.0095,0.085,4
0.0095,0.09,2
0.0095,0.095,2
0.0095,0.1,2
0.0095,0.105,2
0.0095,0.11,2
0.0095,0.115,2
0.0095,0.12,2
0.0095,0.125,2
0.0095,0.13,2
0.0095,0.135,2
0.0095,0.14,2
0.0095,0.145,2
0.0095,0.15,2
0.0095,0.155,2
0.0095,0.16,2
0.0095,0.165,2
0.0095,0.17,2
0.0095,0.175,2
0.0095,0.18,2
0.0095,0.185,2
0.0095,0.19,2
0.0095,0.195,2
0.0095,0.2,2
0.01,0.0,0
0.01,0.005,0
0.01,0.01,1
0.01,0.015,1
0.01,0.02,1
0.01,0.025,1
0.01,0.03,1
0.01,0.035,1
0.01,0.04,1
0.01,0.045,1
0.01,0.05,1
0.01,0.055,1
0.01,0.06,1
0.01,0.065,1
0.01,0.07,1
0.01,0.075,4
0.01,0.08,4
0.01,0.085,4
0.01,0.09,2
0.01,0.095,2
0.01,0.1,2
0.01,0.105,2
0.01,0.11,2
0.01,0.115,2
0.01,0.12,2
0.01,0.125,2
0.01,0.13,2
0.01,0.135,2
0.01,0.14,2
0.01,0.145,2
0.01,0.15,2
0.01,0.155,2
0.01,0.16,2
0.01,0.165,2
0.01,0.17,2
0.01,0.175,2
0.01,0.18,2
0.01,0.185,2
0.01,0.19,2
0.01,0.195,2
0.01,0.2,2
0.011,0.0,0
0.011,0.005,0
0.011,0.01,1
0.011,0.015,1
0.011,0.02,1
0.011,0.025,1
0.011,0.03,1
0.011,0.035,1
0.011,0.04,1
0.011,0.045,1
0.011,0.05,1
0.011,0.055,1
0.011,0.06,1
0.011,0.065,4
0.011,0.07,4
0.011,0.075,4
0.011,0.08,4
0.011,0.085,4
0.011,0.09,4
0.011,0.095,2
0.011,0.1,4
0.011,0.105,2
0.011,0.11,2
0.011,0.115,2
0.011,0.12,2
0.011,0.125,2
0.011,0.13,2
0.011,0.135,2
0.011,0.14,2
0.011,0.145,2
0.011,0.15,2
0.011,0.155,2
0.011,0.16,2
0.011,0.165,2
0.011,0.17,2
0.011,0.175,2
0.011,0.18,2
0.011,0.185,2
0.011,0.19,2
0.011,0.195,2
0.011,0.2,2
0.012,0.0,0
0.012,0.005,0
0.012,0.01,1
0.012,0.015,1
0.012,0.02,1
0.012,0.025,1
0.012,0.03,1
0.012,0.035,1
0.012,0.04,1
0.012,0.045,4
0.012,0.05,1
0.012,0.055,4
0.012,0.06,4
0.012,0.065,4
0.012,0.07,4
0.012,0.075,4
0.012,0.08,4
0.012,0.085,2
0.012,0.09,2
0.012,0.095,2
0.012,0.1,2
0.012,0.105,2
0.012,0.11,2
0.012,0.115,2
0.012,0.12,2
0.012,0.125,2
0.012,0.13,2
0.012,0.135,2
0.012,0.14,2
0.012,0.145,2
0.012,0.15,2
0.012,0.155,2
0.012,0.16,2
0.012,0.165,2
0.012,0.17,2
0.012,0.175,2
0.012,0.18,2
0.012,0.185,2
0.012,0.19,2
0.012,0.195,2
0.012,0.2,2
0.013,0.0,0
0.013,0.005,0
0.013,0.01,1
0.013,0.015,1
0.013,0.02,1
0.013,0.025,1
0.013,0.03,1
0.013,0.035,1
0.013,0.04,1
0.013,0.045,1
0.013,0.05,4
0.013,0.055,4
0.013,0.06,4
0.013,0.065,2
0.013,0.07,2
0.013,0.075,2
0.013,0.08,2
0.013,0.085,2
0.013,0.09,2
0.013,0.095,2
0.013,0.1,2
0.013,0.105,2
0.013,0.11,2
0.013,0.115,2
0.013,0.12,2
0.013,0.125,2
0.013,0.13,2
0.013,0.135,2
0.013,0.14,2
0.013,0.145,2
0.013,0.15,2
0.013,0.155,2
0.013,0.16,2
0.013,0.165,2
0.013,0.17,2
0.013,0.175,2
0.013,0.18,2
0.013,0.185,2
0.013,0.19,2
0.013,0.195,2
0.013,0.2,2
0.014,0.0,0
0.014,0.005,0
0.014,0.01,0
0.014,0.015,1
0.014,0.02,1
0.014,0.025,1
0.014,0.03,1
0.014,0.035,1
0.014,0.04,4
0.014,0.045,4
0.014,0.05,4
0.014,0.055,4
0.014,0.06,2
0.014,0.065,4
0.014,0.07,2
0.014,0.075,2
0.014,0.08,2
0.014,0.085,2
0.014,0.09,2
0.014,0.095,2
0.014,0.1,2
0.014,0.105,2
0.014,0.11,2
0.014,0.115,2
0.014,0.12,2
0.014,0.125,2
0.014,0.13,2
0.014,0.135,2
0.014,0.14,2
0.014,0.145,2
0.014,0.15,2
0.014,0.155,2
0.014,0.16,2
0.014,0.165,2
0.014,0.17,2
0.014,0.175,2
0.014,0.18,2
0.014,0.185,2
0.014,0.19,2
0.014,0.195,2
0.014,0.2,2
0.015,0.0,0
0.015,0.005,0
0.015,0.01,1
0.015,0.015,1
0.015,0.02,1
0.015,0.025,1
0.015,0.03,1
0.015,0.035,1
0.015,0.04,4
0.015,0.045,4
0.015,0.05,4
0.015,0.055,2
0.015,0.06,2
0.015,0.065,2
0.015,0.07,2
0.015,0.075,2
0.015,0.08,2
0.015,0.085,2
0.015,0.09,2
0.015,0.095,2
0.015,0.1,2
0.015,0.105,2
0.015,0.11,2
0.015,0.115,2
0.015,0.12,2
0.015,0.125,2
0.015,0.13,2
0.015,0.135,2
0.015,0.14,2
0.015,0.145,2
0.015,0.15,2
0.015,0.155,2
0.015,0.16,2
0.015,0.165,2
0.015,0.17,2
0.015,0.175,2
0.015,0.18,2
0.015,0.185,2
0.015,0.19,2
0.015,0.195,2
0.015,0.2,2
0.016,0.0,0
0.016,0.005,0
0.016,0.01,0
0.016,0.015,1
0.016,0.02,1
0.016,0.025,1
0.016,0.03,1
0.016,0.035,4
0.016,0.04,4
0.016,0.045,4
0.016,0.05,4
0.016,0.055,4
0.016,0.06,2
0.016,0.065,2
0.016,0.07,2
0.016,0.075,2
0.016,0.08,2
0.016,0.085,2
0.016,0.09,2
0.016,0.095,2
0.016,0.1,2
0.016,0.105,2
0.016,0.11,2
0.016,0.115,2
0.016,0.12,2
0.016,0.125,2
0.016,0.13,2
0.016,0.135,2
0.016,0.14,2
0.016,0.145,2
0.016,0.15,2
0.016,0.155,2
0.016,0.16,2
0.016,0.165,2
0.016,0.17,2
0.016,0.175,2
0.016,0.18,2
0.016,0.185,2
0.016,0.19,2
0.016,0.195,2
0.016,0.2,2
0.017,0.0,0
0.017,0.005,0
0.017,0.01,0
0.017,0.015,1
0.017,0.02,1
0.017,0.025,0
0.017,0.03,0
0.017,0.035,4
0.017,0.04,4
0.017,0.045,4
0.017,0.05,2
0.017,0.055,2
0.017,0.06,2
0.017,0.065,2
0.017,0.07,2
0.017,0.075,2
0.017,0.08,2
0.017,0.085,2
0.017,0.09,2
0.017,0.095,2
0.017,0.1,2
0.017,0.105,2
0.017,0.11,2
0.017,0.115,2
0.017,0.12,2
0.017,0.125,2
0.017,0.13,2
0.017,0.135,2
0.017,0.14,2
0.017,0.145,2
0.017,0.15,2
0.017,0.155,2
0.017,0.16,2
0.017,0.165,2
0.017,0.17,2
0.017,0.175,2
0.017,0.18,2
0.017,0.185,2
0.017,0.19,2
0.017,0.195,2
0.017,0.2,2
0.018,0.0,0
0.018,0.005,0
0.018,0.01,0
0.018,0.015,0
0.018,0.02,0
0.018,0.025,0
0.018,0.03,0
0.018,0.035,4
0.018,0.04,4
0.018,0.045,4
0.018,0.05,2
0.018,0.055,2
0.018,0.06,2
0.018,0.065,2
0.018,0.07,2
0.018,0.075,2
0.018,0.08,2
0.018,0.085,2
0.018,0.09,2
0.018,0.095,2
0.018,0.1,2
0.018,0.105,2
0.018,0.11,2
0.018,0.115,2
0.018,0.12,2
0.018,0.125,2
0.018,0.13,2
0.018,0.135,2
0.018,0.14,2
0.018,0.145,2
0.018,0.15,2
0.018,0.155,2
0.018,0.16,2
0.018,0.165,2
0.018,0.17,2
0.018,0.175,2
0.018,0.18,2
0.018,0.185,2
0.018,0.19,2
0.018,0.195,2
0.018,0.2,2
0.019,0.0,0
0.019,0.005,0
0.019,0.01,0
0.019,0.015,0
0.019,0.02,0
0.019,0.025,0
0.019,0.03,0
0.019,0.035,0
0.019,0.04,4
0.019,0.045,2
0.019,0.05,2
0.019,0.055,2
0.019,0.06,2
0.019,0.065,2
0.019,0.07,2
0.019,0.075,2
0.019,0.08,2
0.019,0.085,2
0.019,0.09,2
0.019,0.095,2
0.019,0.1,2
0.019,0.105,2
0.019,0.11,2
0.019,0.115,2
0.019,0.12,2
0.019,0.125,2
0.019,0.13,2
0.019,0.135,2
0.019,0.14,2
0.019,0.145,2
0.019,0.15,2
0.019,0.155,2
0.019,0.16,2
0.019,0.165,2
0.019,0.17,2
0.019,0.175,2
0.019,0.18,2
0.019,0.185,2
0.019,0.19,2
0.019,0.195,2
0.019,0.2,2
0.02,0.0,0
0.02,0.005,0
0.02,0.01,0
0.02,0.015,0
0.02,0.02,0
0.02,0.025,0
0.02,0.03,0
0.02,0.035,4
0.02,0.04,4
0.02,0.045,4
0.02,0.05,2
0.02,0.055,2
0.02,0.06,2
0.02,0.065,2
0.02,0.07,2
0.02,0.075,2
0.02,0.08,2
0.02,0.085,2
0.02,0.09,2
0.02,0.095,2
0.02,0.1,2
0.02,0.105,2
0.02,0.11,2
0.02,0.115,2
0.02,0.12,2
0.02,0.125,2
0.02,0.13,2
0.02,0.135,2
0.02,0.14,2
0.02,0.145,2
0.02,0.15,2
0.02,0.155,2
0.02,0.16,2
0.02,0.165,2
0.02,0.17,2
0.02,0.175,2
0.02,0.18,2
0.02,0.185,2
0.02,0.19,2
0.02,0.195,2
0.02,0.2,2
0.025,0.0,0
0.025,0.005,0
0.025,0.01,0
0.025,0.015,0
0.025,0.02,0
0.025,0.025,0
0.025,0.03,0
0.025,0.035,0
0.025,0.04,0
0.025,0.045,4
0.025,0.05,2
0.025,0.055,2
0.025,0.06,2
0.025,0.065,2
0.025,0.07,2
0.025,0.075,2
0.025,0.08,2
0.025,0.085,2
0.025,0.09,2
0.025,0.095,2
0.025,0.1,2
0.025,0.105,2
0.025,0.11,2
0.025,0.115,2
0.025,0.12,2
0.025,0.125,2
0.025,0.13,2
0.025,0.135,2
0.025,0.14,2
0.025,0.145,2
0.025,0.15,2
0.025,0.155,2
0.025,0.16,2
0.025,0.165,2
0.025,0.17,2
0.025,0.175,2
0.025,0.18,2
0.025,0.185,2
0.025,0.19,2
0.025,0.195,2
0.025,0.2,2
0.03,0.0,0
0.03,0.005,0
0.03,0.01,0
0.03,0.015,0
0.03,0.02,0
0.03,0.025,0
0.03,0.03,0
0.03,0.035,0
0.03,0.04,0
0.03,0.045,0
0.03,0.05,2
0.03,0.055,2
0.03,0.06,2
0.03,0.065,2
0.03,0.07,2
0.03,0.075,2
0.03,0.08,2
0.03,0.085,2
0.03,0.09,2
0.03,0.095,2
0.03,0.1,2
0.03,0.105,2
0.03,0.11,2
0.03,0.115,2
0.03,0.12,2
0.03,0.125,2
0.03,0.13,2
0.03,0.135,2
0.03,0.14,2
0.03,0.145,2
0.03,0.15,2
0.03,0.155,2
0.03,0.16,2
0.03,0.165,2
0.03,0.17,2
0.03,0.175,2
0.03,0.18,2
0.03,0.185,2
0.03,0.19,2
0.03,0.195,2
0.03,0.2,2
0.04,0.0,0
0.04,0.005,0
0.04,0.01,0
0.04,0.015,0
0.04,0.02,0
0.04,0.025,0
0.04,0.03,0
0.04,0.035,0
0.04,0.04,0
0.04,0.045,0
0.04,0.05,0
0.04,0.055,2
0.04,0.06,2
0.04,0.065,2
0.04,0.07,2
0.04,0.075,2
0.04,0.08,2
0.04,0.085,2
0.04,0.09,2
0.04,0.095,2
0.04,0.1,2
0.04,0.105,2
0.04,0.11,2
0.04,0.115,2
0.04,0.12,2
0.04,0.125,2
0.04,0.13,2
0.04,0.135,2
0.04,0.14,2
0.04,0.145,2
0.04,0.15,2
0.04,0.155,2
0.04,0.16,2
0.04,0.165,2
0.04,0.17,2
0.04,0.175,2
0.04,0.18,2
0.04,0.185,2
0.04,0.19,2
0.04,0.195,2
0.04,0.2,2
0.05,0.0,0
0.05,0.005,0
0.05,0.01,0
0.05,0.015,0
0.05,0.02,0
0.05,0.025,0
0.05,0.03,0
0.05,0.035,0
0.05,0.04,0
0.05,0.045,0
0.05,0.05,0
0.05,0.055,0
0.05,0.06,0
0.05,0.065,2
0.05,0.07,2
0.05,0.075,2
0.05,0.08,2
0.05,0.085,2
0.05,0.09,2
0.05,0.095,2
0.05,0.1,2
0.05,0.105,2
0.05,0.11,2
0.05,0.115,2
0.05,0.12,2
0.05,0.125,2
0.05,0.13,2
0.05,0.135,2
0.05,0.14,2
0.05,0.145,2
0.05,0.15,2
0.05,0.155,2
0.05,0.16,2
0.05,0.165,2
0.05,0.17,2
0.05,0.175,2
0.05,0.18,2
0.05,0.185,2
0.05,0.19,2
0.05,0.195,2
0.05,0.2,2
0.06,0.0,0
0.06,0.005,0
0.06,0.01,0
0.06,0.015,0
0.06,0.02,0
0.06,0.025,0
0.06,0.03,0
0.06,0.035,0
0.06,0.04,0
0.06,0.045,0
0.06,0.05,0
0.06,0.055,0
0.06,0.06,0
0.06,0.065,0
0.06,0.07,0
0.06,0.075,2
0.06,0.08,2
0.06,0.085,2
0.06,0.09,2
0.06,0.095,2
0.06,0.1,2
0.06,0.105,2
0.06,0.11,2
0.06,0.115,2
0.06,0.12,2
0.06,0.125,2
0.06,0.13,2
0.06,0.135,2
0.06,0.14,2
0.06,0.145,2
0.06,0.15,2
0.06,0.155,2
0.06,0.16,2
0.06,0.165,2
0.06,0.17,2
0.06,0.175,2
0.06,0.18,2
0.06,0.185,2
0.06,0.19,2
0.06,0.195,2
0.06,0.2,2
0.07,0.0,0
0.07,0.005,0
0.07,0.01,0
0.07,0.015,0
0.07,0.02,0
0.07,0.025,0
0.07,0.03,0
0.07,0.035,0
0.07,0.04,0
0.07,0.045,0
0.07,0.05,0
0.07,0.055,0
0.07,0.06,0
0.07,0.065,0
0.07,0.07,0
0.07,0.075,2
0.07,0.08,2
0.07,0.085,2
0.07,0.09,2
0.07,0.095,2
0.07,0.1,2
0.07,0.105,2
0.07,0.11,2
0.07,0.115,2
0.07,0.12,2
0.07,0.125,2
0.07,0.13,2
0.07,0.135,2
0.07,0.14,2
0.07,0.145,2
0.07,0.15,2
0.07,0.155,2
0.07,0.16,2
0.07,0.165,2
0.07,0.17,2
0.07,0.175,2
0.07,0.18,2
0.07,0.185,2
0.07,0.19,2
0.07,0.195,2
0.07,0.2,2
0.08,0.0,0
0.08,0.005,0
0.08,0.01,0
0.08,0.015,0
0.08,0.02,0
0.08,0.025,0
0.08,0.03,0
0.08,0.035,0
0.08,0.04,0
0.08,0.045,0
0.08,0.05,0
0.08,0.055,0
0.08,0.06,0
0.08,0.065,0
0.08,0.07,0
0.08,0.075,0
0.08,0.08,0
0.08,0.085,0
0.08,0.09,2
0.08,0.095,2
0.08,0.1,2
0.08,0.105,2
0.08,0.11,2
0.08,0.115,2
0.08,0.12,2
0.08,0.125,2
0.08,0.13,2
0.08,0.135,2
0.08,0.14,2
0.08,0.145,2
0.08,0.15,2
0.08,0.155,2
0.08,0.16,2
0.08,0.165,2
0.08,0.17,2
0.08,0.175,2
0.08,0.18,2
0.08,0.185,2
0.08,0.19,2
0.08,0.195,2
0.08,0.2,2
0.09,0.0,0
0.09,0.005,0
0.09,0.01,0
0.09,0.015,0
0.09,0.02,0
0.09,0.025,0
0.09,0.03,0
0.09,0.035,0
0.09,0.04,0
0.09,0.045,0
0.09,0.05,0
0.09,0.055,0
0.09,0.06,0
0.09,0.065,0
0.09,0.07,0
0.09,0.075,0
0.09,0.08,0
0.09,0.085,0
0.09,0.09,0
0.09,0.095,2
0.09,0.1,2
0.09,0.105,2
0.09,0.11,2
0.09,0.115,2
0.09,0.12,2
0.09,0.125,2
0.09,0.13,2
0.09,0.135,2
0.09,0.14,2
0.09,0.145,2
0.09,0.15,2
0.09,0.155,2
0.09,0.16,2
0.09,0.165,2
0.09,0.17,2
0.09,0.175,2
0.09,0.18,2
0.09,0.185,2
0.09,0.19,2
0.09,0.195,2
0.09,0.2,2
0.1,0.0,0
0.1,0.005,0
0.1,0.01,0
0.1,0.015,0
0.1,0.02,0
0.1,0.025,0
0.1,0.03,0
0.1,0.035,0
0.1,0.04,0
0.1,0.045,0
0.1,0.05,0
0.1,0.055,0
0.1,0.06,0
0.1,0.065,0
0.1,0.07,0
0.1,0.075,0
0.1,0.08,0
0.1,0.085,0
0.1,0.09,0
0.1,0.095,2
0.1,0.1,2
0.1,0.105,2
0.1,0.11,2
0.1,0.115,2
0.1,0.12,2
0.1,0.125,2
0.1,0.13,2
0.1,0.135,2
0.1,0.14,2
0.1,0.145,2
0.1,0.15,2
0.1,0.155,2
0.1,0.16,2
0.1,0.165,2
0.1,0.17,2
0.1,0.175,2
0.1,0.18,2
0.1,0.185,2
0.1,0.19,2
0.1,0.195,2
0.1,0.2,2
0.2,0.0,0
0.2,0.005,0
0.2,0.01,0
0.2,0.015,0
0.2,0.02,0
0.2,0.025,0
0.2,0.03,0
0.2,0.035,0
0.2,0.04,0
0.2,0.045,0
0.2,0.05,0
0.2,0.055,0
0.2,0.06,0
0.2,0.065,0
0.2,0.07,0
0.2,0.075,0
0.2,0.08,0
0.2,0.085,0
0.2,0.09,0
0.2,0.095,0
0.2,0.1,0
0.2,0.105,0
0.2,0.11,0
0.2,0.115,0
0.2,0.12,0
0.2,0.125,0
0.2,0.13,0
0.2,0.135,0
0.2,0.14,0
0.2,0.145,0
0.2,0.15,0
0.2,0.155,0
0.2,0.16,2
0.2,0.165,2
0.2,0.17,2
0.2,0.175,2
0.2,0.18,2
0.2,0.185,2
0.2,0.19,2
0.2,0.195,2
0.2,0.2,2
0.3,0.0,0
0.3,0.005,0
0.3,0.01,0
0.3,0.015,0
0.3,0.02,0
0.3,0.025,0
0.3,0.03,0
0.3,0.035,0
0.3,0.04,0
0.3,0.045,0
0.3,0.05,0
0.3,0.055,0
0.3,0.06,0
0.3,0.065,0
0.3,0.07,0
0.3,0.075,0
0.3,0.08,0
0.3,0.085,0
0.3,0.09,0
0.3,0.095,0
0.3,0.1,0
0.3,0.105,0
0.3,0.11,0
0.3,0.115,0
0.3,0.12,0
0.3,0.125,0
0.3,0.13,0
0.3,0.135,0
0.3,0.14,0
0.3,0.145,0
0.3,0.15,0
0.3,0.155,0
0.3,0.16,0
0.3,0.165,0
0.3,0.17,0
0.3,0.175,0
0.3,0.18,0
0.3,0.185,0
0.3,0.19,0
0.3,0.195,0
0.3,0.2,0
0.4,0.0,0
0.4,0.005,0
0.4,0.01,0
0.4,0.015,0
0.4,0.02,0
0.4,0.025,0
0.4,0.03,0
0.4,0.035,0
0.4,0.04,0
0.4,0.045,0
0.4,0.05,0
0.4,0.055,0
0.4,0.06,0
0.4,0.065,0
0.4,0.07,0
0.4,0.075,0
0.4,0.08,0
0.4,0.085,0
0.4,0.09,0
0.4,0.095,0
0.4,0.1,0
0.4,0.105,0
0.4,0.11,0
0.4,0.115,0
0.4,0.12,0
0.4,0.125,0
0.4,0.13,0
0.4,0.135,0
0.4,0.14,0
0.4,0.145,0
0.4,0.15,0
0.4,0.155,0
0.4,0.16,0
0.4,0.165,0
0.4,0.17,0
0.4,0.175,0
0.4,0.18,0
0.4,0.185,0
0.4,0.19,0
0.4,0.195,0
0.4,0.2,0
0.5,0.0,0
0.5,0.005,0
0.5,0.01,0
0.5,0.015,0
0.5,0.02,0
0.5,0.025,0
0.5,0.03,0
0.5,0.035,0
0.5,0.04,0
0.5,0.045,0
0.5,0.05,0
0.5,0.055,0
0.5,0.06,0
0.5,0.065,0
0.5,0.07,0
0.5,0.075,0
0.5,0.08,0
0.5,0.085,0
0.5,0.09,0
0.5,0.095,0
0.5,0.1,0
0.5,0.105,0
0.5,0.11,0
0.5,0.115,0
0.5,0.12,0
0.5,0.125,0
0.5,0.13,0
0.5,0.135,0
0.5,0.14,0
0.5,0.145,0
0.5,0.15,0
0.5,0.155,0
0.5,0.16,0
0.5,0.165,0
0.5,0.17,0
0.5,0.175,0
0.5,0.18,0
0.5,0.185,0
0.5,0.19,0
0.5,0.195,0
0.5,0.2,0
